species_value,species_display
Rose-breasted Grosbeak,Rose-breasted Grosbeak
Ruby-crowned Kinglet,Ruby-crowned Kinglet
Ruby-throated Hummingbird,Ruby-throated Hummingbird
Rufous Hummingbird,Rufous Hummingbird
Rufous-crowned Sparrow,Rufous-crowned Sparrow
Rusty Blackbird,Rusty Blackbird
Savannah Sparrow,Savannah Sparrow
Scissor-tailed Flycatcher,Scissor-tailed Flycatcher
Sedge Wren,Sedge Wren
Sharp-shinned Hawk,Sharp-shinned Hawk
Song Sparrow,Song Sparrow
Sora,Sora
Spotted Towhee,Spotted Towhee
Stilt Sandpiper,Stilt Sandpiper
Summer Tanager,Summer Tanager
Swainsons Hawk,Swainson&#39s Hawk
Swainsons Thrush,Swainson&#39s Thrush
Swamp Sparrow,Swamp Sparrow
Tennessee Warbler,Tennessee Warbler
Tree Swallow,Tree Swallow
Tufted Titmouse,Tufted Titmouse
Turkey Vulture,Turkey Vulture
Veery,Veery
Verdin,Verdin
Vermilion Flycatcher,Vermilion Flycatcher
Vesper Sparrow,Vesper Sparrow
Virginia Rail,Virginia Rail
Warbling Vireo,Warbling Vireo
Western Kingbird,Western Kingbird
Western Meadowlark,Western Meadowlark
Western Scrub-Jay,Western Scrub-Jay
White-breasted Nuthatch,White-breasted Nuthatch
White-crowned Sparrow,White-crowned Sparrow
White-eyed Vireo,White-eyed Vireo
White-throated Sparrow,White-throated Sparrow
White-winged Dove,White-winged Dove
Willow Flycatcher,Willow Flycatcher
Wilsons Phalarope,Wilson&#39s Phalarope
Wilsons Snipe,Wilson&#39s Snipe
Wilsons Warbler,Wilson&#39s Warbler
Winter Wren,Winter Wren
Wood Duck,Wood Duck
Wood Thrush,Wood Thrush
Worm-eating Warbler,Worm-eating Warbler
Yellow Warbler,Yellow Warbler
Yellow-bellied Flycatcher,Yellow-bellied Flycatcher
Yellow-bellied Sapsucker,Yellow-bellied Sapsucker
Yellow-billed Cuckoo,Yellow-billed Cuckoo
Yellow-breasted Chat,Yellow-breasted Chat
Yellow-rumped Warbler,Yellow-rumped Warbler
Yellow-throated Vireo,Yellow-throated Vireo
